,Name,Unique Entry ID,Total_Google_Searches,Poll_Results,Overall_Popularity
278,Pierce,aavqm5o5TcTxgrBs6,1666550.0,510.0,1667060.0
279,Pietro,fLBrHLToMTBrc5Was,205800.0,5330.0,211130.0
280,Pinky,CLQDMiLJYw9de8t7c,2245650.0,904.0,2246554.0
281,Piper,B9nGDw29C3MeZeiob,2448100.0,753.0,2448853.0
282,Pippy,zRveogN878Fugd5ga,1406750.0,429.0,1407179.0
283,Plucky,8v54MppXDZwDS2viK,4198250.0,493.0,4198743.0
284,Pompom,D4EfZuiFQqxXAaxa5,0.0,724.0,724.0
285,Poncho,2yyqShsyFuek2xsPq,2004950.0,1040.0,2005990.0
286,Poppy,NaP65qNMvxYTzTXrs,2617300.0,5776.0,2623076.0
287,Portia,XAP6AcqdXDufCkTAd,180400.0,626.0,181026.0
288,Prince,3YQrrLRvCYt62wMLi,1436210.0,469.0,1436679.0
289,Puck,qnejmf3Q7jvCoBvw7,1310000.0,388.0,1310388.0
290,Puddles,TuEiYBT2nG3qNT2RX,2263200.0,987.0,2264187.0
291,Pudge,QGD2qdJ8oyu4SS7To,1845650.0,523.0,1846173.0
292,Punchy,Q8Qds8CMWMnXTGbqf,801650.0,3969.0,805619.0
293,Purrl,ZgpbeQ6LW63qq2yok,2071500.0,897.0,2072397.0
294,Queenie,4vYPTrcRBimNwXmcC,1180250.0,197.0,1180447.0
295,Quillson,tdfJ4MAeE2pKDxxNd,1498650.0,447.0,1499097.0
296,Raddle,Xi6NDcp6NptRB9WDz,2194100.0,979.0,2195079.0
297,Rasher,vhd6ReEt63uAnpYsq,2186250.0,290.0,2186540.0
298,Raymond,2nbzgWsuDBSN2LeEj,4906350.0,27778.0,4934128.0
299,Renée,ZyeqzXyxABEFXsS5c,0.0,645.0,645.0
300,Reneigh,4rRW9HkPYfAWBQvWC,1864300.0,2242.0,1866542.0
301,Rex,umQmbALHn7dbiMrYL,2596450.0,725.0,2597175.0
302,Rhonda,BjYi6hQsSg6sQcxhm,1554950.0,197.0,1555147.0
303,Ribbot,vg2BFTmhyyhbiHtbC,4234500.0,1001.0,4235501.0
304,Ricky,g5JArfBAeNAXb8rFX,504300.0,199.0,504499.0
305,Rizzo,vmbvXTtjpswNLkcpi,1169250.0,177.0,1169427.0
306,Roald,kxpZTdDuacHxQA3An,2094500.0,9805.0,2104305.0
307,Robin,xK49Rcb2Lnm5P4aLM,78600.0,228.0,78828.0
308,Rocco,vfET6L7B9ruRApyMb,1695600.0,202.0,1695802.0
309,Rocket,eJNBB5SYzfj5DaWjx,6068350.0,329.0,6068679.0
310,Rod,ezLuGMubv35hSamPr,5076030.0,604.0,5076634.0
311,Rodeo,QNT5F2pjZixKpiD4D,1486100.0,792.0,1486892.0
312,Rodney,AnFmctYx65LkTaFGu,2430000.0,806.0,2430806.0
313,Rolf,MA2wxkE7cEyD4f4hz,2053400.0,695.0,2054095.0
314,Rooney,9wnSweJyqfd4izW4M,1974600.0,220.0,1974820.0
315,Rory,hAfSborD4JtyNGFd6,721250.0,246.0,721496.0
316,Roscoe,RKAg95c8nosL8fNec,2381800.0,1381.0,2383181.0
317,Rosie,NTwyXi4RAX4EKTcW6,716300.0,5230.0,721530.0
318,Rowan,WqtXZv8CLheckbHoF,2871300.0,333.0,2871633.0
319,Ruby,rjbSmp6a8PdsEw9BM,1182100.0,2898.0,1184998.0
320,Rudy,TqXTvnySgEac3iEt7,1476600.0,1533.0,1478133.0
321,Sally,jtXMvWWbQ9qN2iw7S,1815150.0,501.0,1815651.0
322,Samson,XFzdPqYwq4n98EpuF,679360.0,242.0,679602.0
323,Sandy,6t3MfdfbyRKwjgNPd,3076000.0,210.0,3076210.0
324,Savannah,Mquwz8gbb3EEmazyF,2405900.0,878.0,2406778.0
325,Scoot,wanb7GiQ9fe6puXe8,2249450.0,1382.0,2250832.0
326,Shari,sR4EndxJk6uqcQKxB,2600450.0,1200.0,2601650.0
327,Sheldon,KQG9B6Yp57KhnDiZ9,2371100.0,607.0,2371707.0
328,Shep,P4FqMoZg2EJQ6EzAb,2447500.0,1841.0,2449341.0
329,Sherb,XaaDkAfHynrEY2YS4,5608850.0,19883.0,5628733.0
330,Simon,mTk2qZXe4XwP3WzNT,1987000.0,360.0,1987360.0
331,Skye,y8Mi2cSB26qfaxCa3,3743150.0,3727.0,3746877.0
332,Sly,GbXz3ZAtzig3qyKd5,1931700.0,490.0,1932190.0
333,Snake,LZcGjneEs8xmxNE3q,267700.0,1394.0,269094.0
334,Snooty,hZmkhmRhK7xgM6BhP,2994700.0,171.0,2994871.0
335,Soleil,EzZzup4KP8t2FvL8f,2555500.0,311.0,2555811.0
336,Sparro,kyF7bCcryEzaErcTJ,2174900.0,197.0,2175097.0
337,Spike,e8bJbKYBcretqhbuR,2437500.0,456.0,2437956.0
338,Spork,NeqP5jCsuLugbA2PW,2114500.0,311.0,2114811.0
339,Sprinkle,5ffTHHjgjsXGAcsb3,2064400.0,3421.0,2067821.0
340,Sprocket,mFq536yZgoy7zEbKd,2279600.0,1179.0,2280779.0
341,Static,vqPjvoChWTNpj2t6E,691100.0,1767.0,692867.0
342,Stella,PnrARfxc8picdtvL8,2687400.0,985.0,2688385.0
343,Sterling,u7tJskupjfv3Ejedt,3903250.0,649.0,3903899.0
344,Stinky,daE2wDXCWHDJZBkD4,1671800.0,637.0,1672437.0
345,Stitches,SfGuc8givs3kR8kvM,1597500.0,12548.0,1610048.0
346,Stu,rcPtvvvscvkEWG7AF,1687950.0,536.0,1688486.0
347,Sydney,crrWmmqsC9RfmZNCS,763710.0,1075.0,764785.0
348,Sylvana,MBkrN9pXkoACmfPdE,1583900.0,1755.0,1585655.0
