,Villagers,Tally
379,Sandy,210.0
380,Maelle,209.0
381,Gwen,206.0
382,Chops,202.0
383,Rocco,202.0
384,Becky,199.0
385,Ricky,199.0
386,Clyde,197.0
387,Sparro,197.0
388,Rhonda,197.0
389,Queenie,197.0
390,Pancetti,194.0
391,Mallary,193.0
392,Moose,191.0
393,Toby,191.0
394,Faith,189.0
395,Curly,186.0
396,Greta,185.0
397,Limberg,179.0
398,Rizzo,177.0
399,Azalea,176.0
400,Quinn,176.0
401,Harry,175.0
402,Snooty,171.0
403,Chabwick,162.0
404,Bitty,162.0
405,Boyd,160.0
406,Violet,147.0
407,Ace,126.0
408,Rilla,119.0
409,Roswell,103.0
410,Zoe,72.0
411,Rio,64.0
412,Frett,61.0
